,dataset,filename,actor,emotion,length,gender,set
106,RAVDESS,clean/RAVDESS\Actor_03\03-01-01-01-02-01-03.wav,3,neutral,1.61877551,male,train
107,RAVDESS,clean/RAVDESS\Actor_03\03-01-01-01-02-02-03.wav,3,neutral,1.576371882,male,test
108,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-01-01-01-03.wav,3,happy,1.858503401,male,train
109,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-01-01-02-03.wav,3,happy,1.841632653,male,test
110,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-01-02-01-03.wav,3,happy,1.693151927,male,train
111,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-01-02-02-03.wav,3,happy,1.659047619,male,train
112,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-02-01-01-03.wav,3,happy,2.940045351,male,train
113,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-02-01-02-03.wav,3,happy,3.375328798,male,test
114,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-02-02-01-03.wav,3,happy,3.32462585,male,train
115,RAVDESS,clean/RAVDESS\Actor_03\03-01-03-02-02-02-03.wav,3,happy,2.966258503,male,train
116,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-01-01-01-03.wav,3,sad,1.802857143,male,train
117,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-01-01-02-03.wav,3,sad,2.034240363,male,train
118,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-01-02-01-03.wav,3,sad,2.413106576,male,train
119,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-01-02-02-03.wav,3,sad,2.415646259,male,train
120,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-02-01-01-03.wav,3,sad,2.165351474,male,train
121,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-02-01-02-03.wav,3,sad,2.254693878,male,train
122,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-02-02-01-03.wav,3,sad,2.951836735,male,train
123,RAVDESS,clean/RAVDESS\Actor_03\03-01-04-02-02-02-03.wav,3,sad,2.750068027,male,test
124,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-01-01-01-03.wav,3,angry,2.027528345,male,train
125,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-01-01-02-03.wav,3,angry,2.227936508,male,train
126,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-01-02-01-03.wav,3,angry,2.055873016,male,train
127,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-01-02-02-03.wav,3,angry,2.126258503,male,train
128,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-02-01-01-03.wav,3,angry,3.770566893,male,test
129,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-02-01-02-03.wav,3,angry,3.70399093,male,train
130,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-02-02-01-03.wav,3,angry,3.217913832,male,train
131,RAVDESS,clean/RAVDESS\Actor_03\03-01-05-02-02-02-03.wav,3,angry,3.66462585,male,train
132,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-01-01-01-03.wav,3,fearful,1.987845805,male,train
133,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-01-01-02-03.wav,3,fearful,2.249705215,male,train
134,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-01-02-01-03.wav,3,fearful,1.978321995,male,train
135,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-01-02-02-03.wav,3,fearful,1.78675737,male,test
136,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-02-01-01-03.wav,3,fearful,2.95478458,male,train
137,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-02-01-02-03.wav,3,fearful,3.443129252,male,train
138,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-02-02-01-03.wav,3,fearful,2.994603175,male,train
139,RAVDESS,clean/RAVDESS\Actor_03\03-01-06-02-02-02-03.wav,3,fearful,3.436780045,male,train
140,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-01-01-01-03.wav,3,disgusted,2.324353741,male,test
141,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-01-01-02-03.wav,3,disgusted,1.952653061,male,train
142,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-01-02-01-03.wav,3,disgusted,1.782993197,male,train
143,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-01-02-02-03.wav,3,disgusted,2.460498866,male,train
144,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-02-01-01-03.wav,3,disgusted,2.247709751,male,train
145,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-02-01-02-03.wav,3,disgusted,2.738548753,male,train
146,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-02-02-01-03.wav,3,disgusted,2.721678005,male,train
147,RAVDESS,clean/RAVDESS\Actor_03\03-01-07-02-02-02-03.wav,3,disgusted,2.837868481,male,test
148,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-01-01-01-03.wav,3,surprised,1.519410431,male,train
149,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-01-01-02-03.wav,3,surprised,1.698548753,male,train
150,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-01-02-01-03.wav,3,surprised,1.334421769,male,train
151,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-01-02-02-03.wav,3,surprised,1.747573696,male,train
152,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-02-01-01-03.wav,3,surprised,1.577596372,male,train
153,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-02-01-02-03.wav,3,surprised,1.780680272,male,train
154,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-02-02-01-03.wav,3,surprised,1.962176871,male,train
155,RAVDESS,clean/RAVDESS\Actor_03\03-01-08-02-02-02-03.wav,3,surprised,1.399365079,male,test
156,RAVDESS,clean/RAVDESS\Actor_04\03-01-01-01-01-01-04.wav,4,neutral,1.329251701,female,test
157,RAVDESS,clean/RAVDESS\Actor_04\03-01-01-01-01-02-04.wav,4,neutral,1.371791383,female,train
158,RAVDESS,clean/RAVDESS\Actor_04\03-01-01-01-02-01-04.wav,4,neutral,1.267845805,female,test
159,RAVDESS,clean/RAVDESS\Actor_04\03-01-01-01-02-02-04.wav,4,neutral,1.241496599,female,train
160,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-01-01-01-04.wav,4,happy,1.543537415,female,train
161,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-01-01-02-04.wav,4,happy,1.575464853,female,train
162,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-01-02-01-04.wav,4,happy,1.573061224,female,train
163,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-01-02-02-04.wav,4,happy,1.497687075,female,test
164,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-02-01-01-04.wav,4,happy,2.125260771,female,train
165,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-02-01-02-04.wav,4,happy,1.613333333,female,train
166,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-02-02-01-04.wav,4,happy,1.659092971,female,train
167,RAVDESS,clean/RAVDESS\Actor_04\03-01-03-02-02-02-04.wav,4,happy,1.957687075,female,train
168,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-01-01-01-04.wav,4,sad,1.414376417,female,test
169,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-01-01-02-04.wav,4,sad,1.469070295,female,train
170,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-01-02-01-04.wav,4,sad,1.51446712,female,test
171,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-01-02-02-04.wav,4,sad,1.532517007,female,train
172,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-02-01-01-04.wav,4,sad,1.761405896,female,train
173,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-02-01-02-04.wav,4,sad,1.802040816,female,train
174,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-02-02-01-04.wav,4,sad,2.061269841,female,test
175,RAVDESS,clean/RAVDESS\Actor_04\03-01-04-02-02-02-04.wav,4,sad,2.082811791,female,train
176,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-01-01-01-04.wav,4,angry,1.738911565,female,train
177,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-01-01-02-04.wav,4,angry,1.636326531,female,train
178,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-01-02-01-04.wav,4,angry,1.505260771,female,train
179,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-01-02-02-04.wav,4,angry,1.798820862,female,train
180,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-02-01-01-04.wav,4,angry,1.992244898,female,train
181,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-02-01-02-04.wav,4,angry,1.923129252,female,train
182,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-02-02-01-04.wav,4,angry,2.026530612,female,train
183,RAVDESS,clean/RAVDESS\Actor_04\03-01-05-02-02-02-04.wav,4,angry,1.930068027,female,train
184,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-01-01-01-04.wav,4,fearful,1.379591837,female,test
185,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-01-01-02-04.wav,4,fearful,1.570702948,female,train
186,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-01-02-01-04.wav,4,fearful,1.503854875,female,train
187,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-01-02-02-04.wav,4,fearful,1.496689342,female,train
188,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-02-01-01-04.wav,4,fearful,2.50984127,female,train
189,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-02-01-02-04.wav,4,fearful,1.791292517,female,train
190,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-02-02-01-04.wav,4,fearful,1.757097506,female,train
191,RAVDESS,clean/RAVDESS\Actor_04\03-01-06-02-02-02-04.wav,4,fearful,1.741405896,female,train
192,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-01-01-01-04.wav,4,disgusted,1.895646259,female,test
193,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-01-01-02-04.wav,4,disgusted,1.875918367,female,train
194,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-01-02-01-04.wav,4,disgusted,1.790521542,female,train
195,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-01-02-02-04.wav,4,disgusted,1.791655329,female,train
196,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-02-01-01-04.wav,4,disgusted,2.030430839,female,test
197,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-02-01-02-04.wav,4,disgusted,2.047891156,female,train
198,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-02-02-01-04.wav,4,disgusted,1.915600907,female,test
199,RAVDESS,clean/RAVDESS\Actor_04\03-01-07-02-02-02-04.wav,4,disgusted,2.045396825,female,test
200,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-01-01-01-04.wav,4,surprised,1.285578231,female,train
201,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-01-01-02-04.wav,4,surprised,1.420090703,female,train
202,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-01-02-01-04.wav,4,surprised,1.709977324,female,train
203,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-01-02-02-04.wav,4,surprised,1.493287982,female,train
204,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-02-01-01-04.wav,4,surprised,1.854013605,female,train
205,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-02-01-02-04.wav,4,surprised,1.620725624,female,train
206,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-02-02-01-04.wav,4,surprised,1.55723356,female,train
207,RAVDESS,clean/RAVDESS\Actor_04\03-01-08-02-02-02-04.wav,4,surprised,1.753061224,female,train
208,RAVDESS,clean/RAVDESS\Actor_05\03-01-01-01-01-01-05.wav,5,neutral,1.562222222,male,test
209,RAVDESS,clean/RAVDESS\Actor_05\03-01-01-01-01-02-05.wav,5,neutral,1.59755102,male,test
210,RAVDESS,clean/RAVDESS\Actor_05\03-01-01-01-02-01-05.wav,5,neutral,1.31845805,male,test
211,RAVDESS,clean/RAVDESS\Actor_05\03-01-01-01-02-02-05.wav,5,neutral,1.54185941,male,train
212,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-01-01-01-05.wav,5,happy,1.993922902,male,train
213,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-01-01-02-05.wav,5,happy,1.480045351,male,train
214,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-01-02-01-05.wav,5,happy,1.372108844,male,train
215,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-01-02-02-05.wav,5,happy,1.958820862,male,train
216,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-02-01-01-05.wav,5,happy,2.277278912,male,train
217,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-02-01-02-05.wav,5,happy,2.074240363,male,train
218,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-02-02-01-05.wav,5,happy,1.969115646,male,test
219,RAVDESS,clean/RAVDESS\Actor_05\03-01-03-02-02-02-05.wav,5,happy,1.589478458,male,train
220,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-01-01-01-05.wav,5,sad,1.242176871,male,test
221,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-01-01-02-05.wav,5,sad,1.414875283,male,test
222,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-01-02-01-05.wav,5,sad,1.154240363,male,train
223,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-01-02-02-05.wav,5,sad,1.678276644,male,train
224,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-02-01-01-05.wav,5,sad,1.448435374,male,train
225,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-02-01-02-05.wav,5,sad,1.251519274,male,train
226,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-02-02-01-05.wav,5,sad,1.174013605,male,train
227,RAVDESS,clean/RAVDESS\Actor_05\03-01-04-02-02-02-05.wav,5,sad,1.204535147,male,train
228,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-01-01-01-05.wav,5,angry,2.011337868,male,train
229,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-01-01-02-05.wav,5,angry,1.960997732,male,train
230,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-01-02-01-05.wav,5,angry,2.309206349,male,train
231,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-01-02-02-05.wav,5,angry,2.502086168,male,test
232,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-02-01-01-05.wav,5,angry,1.675873016,male,train
233,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-02-01-02-05.wav,5,angry,1.916417234,male,test
234,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-02-02-01-05.wav,5,angry,1.991111111,male,train
235,RAVDESS,clean/RAVDESS\Actor_05\03-01-05-02-02-02-05.wav,5,angry,2.040816327,male,train
236,RAVDESS,clean/RAVDESS\Actor_05\03-01-06-01-01-01-05.wav,5,fearful,1.324535147,male,train
237,RAVDESS,clean/RAVDESS\Actor_05\03-01-06-01-01-02-05.wav,5,fearful,1.393061224,male,train
238,RAVDESS,clean/RAVDESS\Actor_05\03-01-06-01-02-01-05.wav,5,fearful,1.228571429,male,train
239,RAVDESS,clean/RAVDESS\Actor_05\03-01-06-01-02-02-05.wav,5,fearful,1.2630839,male,train
240,RAVDESS,clean/RAVDESS\Actor_05\03-01-06-02-01-01-05.wav,5,fearful,1.725986395,male,test
241,RAVDESS,clean/RAVDESS\Actor_05\03-01-06-02-01-02-05.wav,5,fearful,2.170204082,male,train
